Cuisine,Number of Restaurants
American,9
Asian,2
Asian influences,2
Australian,2
Barbecue,2
Californian,14
Cantonese,40
Cantonese Roast Meats,2
Chinese,15
Classic cuisine,15
Classic French,3
Contemporary,75
Creative,50
Creative British,3
Creative French,3
European contemporary,7
French,29
French contemporary,19
Fusion,4
Gastropub,2
Indian,12
Innovative,28
Italian,21
Japanese,54
Japanese contemporary,2
Korean,13
Korean contemporary,3
Mediterranean,4
Mexican,6
modern,4
Modern British,38
Modern cuisine,108
Modern French,3
Scandinavian,5
Seafood,12
Shanghainese,3
Spanish,4
Steakhouse,6
Street Food,3
Sushi,17
Taiwanese,3
Thai,13
Thai Contemporary,2
Traditional British,6
Vegetarian,2
